category,category_label,metric_group,metric,basin_code,basin,n,mean,lower_whisker,q1,median,q3,upper_whisker,outlier_count
TD,Tropical Depression,radius,RNE,NA,North Atlantic,1707,649.7098242530756,0.0,433.77,676.75,829.8499999999999,1412.1,31
TD,Tropical Depression,radius,RNE,EP,Eastern Pacific,3067,525.870524942941,0.0,259.51,586.48,748.815,1472.07,19
TD,Tropical Depression,radius,RNW,NA,North Atlantic,1707,416.9968014059754,0.0,151.58499999999998,419.99,653.525,1344.59,3
TD,Tropical Depression,radius,RNW,EP,Eastern Pacific,3067,389.63473100749917,0.0,124.5,398.26,623.54,1367.18,5
TD,Tropical Depression,radius,RSW,NA,North Atlantic,1707,529.6383772700644,0.0,291.63,622.38,753.825,1402.31,7
TD,Tropical Depression,radius,RSW,EP,Eastern Pacific,3067,487.6986175415716,0.0,225.905,598.76,711.5450000000001,1234.33,0
TD,Tropical Depression,radius,RSE,NA,North Atlantic,1707,631.8504920913884,59.43,495.48,675.6,790.97,1230.99,120
TD,Tropical Depression,radius,RSE,EP,Eastern Pacific,3067,534.7262210629278,0.0,347.88,626.08,723.4100000000001,1271.86,23
TD,Tropical Depression,structure,A,NA,North Atlantic,1707,0.6742647920328061,0.03,0.44,0.68,1.0,1.0,0
TD,Tropical Depression,structure,A,EP,Eastern Pacific,3067,0.6704727746984024,0.02,0.4,0.68,1.0,1.0,0
TD,Tropical Depression,structure,D,NA,North Atlantic,1707,0.5447978910369069,0.21,0.46,0.54,0.63,0.88,45
TD,Tropical Depression,structure,D,EP,Eastern Pacific,3067,0.5568633844147376,0.1,0.44,0.54,0.67,0.99,7
TD,Tropical Depression,structure,S,NA,North Atlantic,1707,0.16753954305799648,0.0,0.1,0.16,0.22,0.4,29
TD,Tropical Depression,structure,S,EP,Eastern Pacific,3067,0.17693511574828827,0.0,0.09,0.17,0.25,0.49,23
TS,Tropical Storm,radius,RNE,NA,North Atlantic,2241,770.1814413208389,0.0,539.0,775.79,948.67,1559.96,44
TS,Tropical Storm,radius,RNE,EP,Eastern Pacific,3505,612.109763195435,0.0,362.15,664.04,832.3,1535.64,17
TS,Tropical Storm,radius,RNW,NA,North Atlantic,2241,456.79093708166,0.0,212.99,439.24,698.16,1403.74,5
TS,Tropical Storm,radius,RNW,EP,Eastern Pacific,3505,429.5446419400855,0.0,212.31,398.39,632.56,1255.46,32
TS,Tropical Storm,radius,RSW,NA,North Atlantic,2241,598.0474966532797,0.0,322.19,710.78,847.28,1623.2,4
TS,Tropical Storm,radius,RSW,EP,Eastern Pacific,3505,608.183029957204,0.0,364.94,720.27,830.31,1456.68,1
TS,Tropical Storm,radius,RSE,NA,North Atlantic,2241,722.1916465863454,103.33,567.97,771.63,879.32,1339.92,90
TS,Tropical Storm,radius,RSE,EP,Eastern Pacific,3505,643.4558915834522,0.0,469.36,726.62,831.17,1367.69,11
TS,Tropical Storm,structure,A,NA,North Atlantic,2241,0.6464970995091478,0.01,0.43,0.65,0.9,1.0,0
TS,Tropical Storm,structure,A,EP,Eastern Pacific,3505,0.6340827389443652,0.03,0.43,0.64,0.85,1.0,0
TS,Tropical Storm,structure,D,NA,North Atlantic,2241,0.4598973672467649,0.1,0.37,0.46,0.55,0.82,11
TS,Tropical Storm,structure,D,EP,Eastern Pacific,3505,0.4487104136947218,0.05,0.34,0.44,0.54,0.84,70
TS,Tropical Storm,structure,S,NA,North Atlantic,2241,0.19710397144132086,0.01,0.13,0.18,0.26,0.45,37
TS,Tropical Storm,structure,S,EP,Eastern Pacific,3505,0.20639372325249647,0.0,0.13,0.19,0.27,0.48,57
MIN_HUR,Minor Hurricane,radius,RNE,NA,North Atlantic,773,764.6162871927555,44.23,543.01,760.04,933.9,1518.27,17
MIN_HUR,Minor Hurricane,radius,RNE,EP,Eastern Pacific,1293,617.7062258313998,0.0,354.44,620.86,841.69,1549.85,3
MIN_HUR,Minor Hurricane,radius,RNW,NA,North Atlantic,773,505.8629366106081,0.0,306.48,450.37,710.84,1261.62,3
MIN_HUR,Minor Hurricane,radius,RNW,EP,Eastern Pacific,1293,399.3241376643465,0.0,217.19,338.05,541.07,1025.93,15
MIN_HUR,Minor Hurricane,radius,RSW,NA,North Atlantic,773,616.5340362225097,0.0,337.75,672.78,857.58,1597.36,2
MIN_HUR,Minor Hurricane,radius,RSW,EP,Eastern Pacific,1293,635.4258313998453,0.0,360.52,750.96,854.32,1458.75,1
MIN_HUR,Minor Hurricane,radius,RSE,NA,North Atlantic,773,740.0382664941786,92.24,569.73,797.7,899.74,1355.24,16
MIN_HUR,Minor Hurricane,radius,RSE,EP,Eastern Pacific,1293,701.0249729311679,50.19,532.75,776.06,858.75,1342.29,18
MIN_HUR,Minor Hurricane,structure,A,NA,North Atlantic,773,0.5861836998706339,0.04,0.44,0.6,0.74,1.0,0
MIN_HUR,Minor Hurricane,structure,A,EP,Eastern Pacific,1293,0.608213457076566,0.05,0.46,0.64,0.77,1.0,0
MIN_HUR,Minor Hurricane,structure,D,NA,North Atlantic,773,0.3496377749029755,0.07,0.27,0.34,0.43,0.66,11
MIN_HUR,Minor Hurricane,structure,D,EP,Eastern Pacific,1293,0.3509667440061872,0.03,0.24,0.33,0.43,0.71,35
MIN_HUR,Minor Hurricane,structure,S,NA,North Atlantic,773,0.24170763260025876,0.03,0.16,0.22,0.31,0.53,9
MIN_HUR,Minor Hurricane,structure,S,EP,Eastern Pacific,1293,0.22733178654292344,0.0,0.14,0.21,0.29,0.51,47
MAJ_HUR,Major Hurricane,radius,RNE,NA,North Atlantic,534,687.4170224719102,210.05,484.0775,688.5550000000001,837.8924999999999,1343.74,5
MAJ_HUR,Major Hurricane,radius,RNE,EP,Eastern Pacific,561,590.510606060606,0.0,381.09,606.25,761.84,1305.05,4
MAJ_HUR,Major Hurricane,radius,RNW,NA,North Atlantic,534,495.93760299625455,37.77,359.735,446.935,604.125,956.11,11
MAJ_HUR,Major Hurricane,radius,RNW,EP,Eastern Pacific,561,403.120606060606,0.0,263.59,354.41,527.16,917.25,9
MAJ_HUR,Major Hurricane,radius,RSW,NA,North Atlantic,534,553.6372846441948,43.56,363.035,549.8050000000001,728.3,1193.46,1
MAJ_HUR,Major Hurricane,radius,RSW,EP,Eastern Pacific,561,625.798734402852,0.0,438.3,705.25,795.94,1177.7,0
MAJ_HUR,Major Hurricane,radius,RSE,NA,North Atlantic,534,686.3832584269663,167.37,520.5450000000001,706.1600000000001,820.7524999999999,1267.72,5
MAJ_HUR,Major Hurricane,radius,RSE,EP,Eastern Pacific,561,681.140303030303,145.39,557.62,718.74,833.34,1240.11,13
MAJ_HUR,Major Hurricane,structure,A,NA,North Atlantic,534,0.4938014981273408,0.04,0.38,0.51,0.62,0.95,0
MAJ_HUR,Major Hurricane,structure,A,EP,Eastern Pacific,561,0.5554188948306596,0.08,0.43,0.57,0.69,1.0,0
MAJ_HUR,Major Hurricane,structure,D,NA,North Atlantic,534,0.26676029962546816,0.04,0.2,0.26,0.33,0.51,0
MAJ_HUR,Major Hurricane,structure,D,EP,Eastern Pacific,561,0.31019607843137254,0.04,0.21,0.28,0.37,0.6,24
MAJ_HUR,Major Hurricane,structure,S,NA,North Atlantic,534,0.33331460674157304,0.08,0.24,0.32,0.41,0.65,7
MAJ_HUR,Major Hurricane,structure,S,EP,Eastern Pacific,561,0.2753475935828877,0.0,0.19,0.26,0.35,0.59,13
